name,F,M,source
'True,2,1,s
A,0,17,s
A'ala,1,0,s
A'fif,0,1,s
A'isha,4,0,s
A'ishah,4,0,s
A'jay,1,1,s
A'lelia,1,0,s
A'yeisha-Casey,1,0,s
A-J,0,2,s
A-Jai,1,1,s
A-Jay,0,24,s
A-Lan,0,1,s
A-Leah,1,0,s
Aaban,0,2,s
Aabas,0,1,s
Aabdaa,1,0,s
Aabeer,1,0,s
Aabha,1,0,s
Aabia,1,0,s
Aabidammar,0,1,s
Aabirha,1,0,s
Aabiyah,1,0,s
Aaciya,1,0,s
Aadal,0,1,s
Aadam,0,56,s
Aadarsh,0,1,s
Aadell,0,1,s
Aaden,2,13,s
Aadhan,0,1,s
Aadhi,0,1,s
Aadhira,2,0,s
Aadhish,0,1,s
Aadhith,0,1,s
Aadhithya,0,1,s
Aadhrith,0,1,s
Aadhvik,0,1,s
Aadhya,10,0,s
Aadhyaa,1,0,s
Aadi,0,7,s
Aadia,1,0,s
Aadil,0,24,s
Aadila,2,0,s
Aadirath,0,1,s
Aadishiv,0,1,s
Aadit,0,3,s
Aadith,0,2,s
Aaditiya,0,1,s
Aaditri,1,0,s
Aadityaram,0,1,s
Aadm,0,1,s
Aadrian,0,1,s
Aadrika,1,0,s
Aadrith,0,1,s
Aadvik,0,2,s
Aadvika,2,0,s
Aadya,11,0,s
Aadyan,0,1,s
Aadyanth,0,1,s
Aadyasri,1,0,s
Aadyn,0,3,s
Aaeedah,1,0,s
Aaeesha,2,0,s
Aaella,1,0,s
Aaeryn,0,1,s
Aaeryn-Leigh,1,0,s
Aafan,0,1,s
Aafeen,1,0,s
Aafi,0,1,s
Aafia,3,0,s
Aafiq,0,1,s
Aafiyah,3,0,s
Aafreen,3,0,s
Aaftab,0,2,s
Aagat,0,1,s
Aagin,0,1,s
Aagman,0,1,s
Aahad,0,2,s
Aahana,6,0,s
Aahid,0,1,s
Aahil,0,27,s
Aahiluddin,0,1,s
Aahliyah,1,0,s
Aahron,0,3,s
Aahyan,0,1,s
Aaicha,1,0,s
Aaida,2,0,s
Aaidah,4,0,s
Aaiden,0,5,s
Aaila,11,0,s
Aailah,2,0,s
Aaima,13,0,s
Aaina,1,0,s
Aaira,10,0,s
Aairah,17,0,s
Aairan,0,1,s
Aaisha,21,0,s
Aaishah,6,0,s
Aaishwarya,1,0,s
Aaiva,3,0,s
Aaiyasha,1,0,s
Aaiylah,1,0,s
Aaiza,3,0,s
Aaizafatima,1,0,s
Aakanksha,1,0,s
Aakarsh,0,1,s
Aakash,0,4,s
Aakifa,1,0,s
Aakifah,1,0,s
Aakin,0,1,s
Aakriti,2,0,s
Aakruti,1,0,s
Aaksaa,1,0,s
Aala,5,0,s
Aala'a,1,0,s
Aalaa,5,0,s
Aalam,0,1,s
Aalana,1,0,s
Aalayah,3,0,s
Aalayha,1,0,s
Aalea,1,0,s
Aaleah,4,0,s
Aaleahia,1,0,s
Aaleen,2,0,s
Aaleeyah,1,0,s
Aaleia,1,0,s
Aaleiah,1,0,s
Aaleigha,2,0,s
Aaleyah,6,0,s
Aalia,19,0,s
Aaliah,7,0,s
Aalid,1,0,s
Aaliegha,1,0,s
Aalifa,1,0,s
Aaliha,1,0,s
Aalim,0,2,s
Aalimah,1,0,s
Aalin,1,0,s
Aalish,2,0,s
Aalisha,1,0,s
Aalivya,1,0,s
Aaliya,6,0,s
Aaliya-Bell,1,0,s
Aaliyah,354,0,s
Aaliyah-Jayne,1,0,s
Aaliyah-Jo,1,0,s
Aaliyah-Leigh,1,0,s
Aaliyah-Lily,1,0,s
Aaliyah-Louise,1,0,s
Aaliyah-Mae,2,0,s
Aaliyah-Marie,1,0,s
Aaliyah-Raven,1,0,s
Aaliyah-Rose,5,0,s
Aaliyah-Skye,1,0,s
Aaliyha,1,0,s
Aaliyhia,1,0,s
Aallaya,1,0,s
Aallayah,1,0,s
Aalliyah,1,0,s
Aalryah,1,0,s
Aalvy,1,0,s
Aalya,4,0,s
Aalyah,1,0,s
Aalyan,0,1,s
Aalysia,1,0,s
Aamaal,1,0,s
Aamaiiya,1,0,s
Aamaira,1,0,s
Aamal,1,0,s
Aaman,0,2,s
Aamana,1,0,s
Aamanee,2,0,s
Aamar,0,3,s
Aamaya,1,0,s
Aamayah,1,0,s
Aameera,1,0,s
Aamer,0,3,s
Aamerah,1,0,s
Aamie,2,0,s
Aamilah,2,0,s
Aamiliah,1,0,s
Aamina,22,0,s
Aaminah,28,0,s
Aamir,0,31,s
Aamira,4,0,s
Aamirah,6,0,s
Aamish,0,1,s
Aamisha,1,0,s
Aamiya,1,0,s
Aamna,29,0,s
Aamna-Nazir,1,0,s
Aamnah,3,0,s
Aamun,0,1,s
Aanab,1,0,s
Aananya,1,0,s
Aanaya,1,0,s
Aanayah,1,0,s
Aaneyah,1,0,s
Aanhad,0,1,s
Aania,6,0,s
Aanika,1,0,s
Aanisah,5,0,s
Aaniyah,1,0,s
Aankhi,1,0,s
Aannan,0,1,s
Aansh,0,1,s
Aanuoluwa,1,0,s
Aanuoluwapo,1,0,s
Aanus,0,1,s
Aanvi,1,0,s
Aanya,23,0,s
Aapo,0,1,s
Aaqib,0,4,s
Aaqif,0,1,s
Aaqil,0,2,s
Aaqila,1,0,s
Aara,8,0,s
Aaraa,1,0,s
Aaraadhya,1,0,s
Aarabh,0,1,s
Aaradhya,4,0,s
Aarae,1,0,s
Aaraf,0,1,s
Aarah,1,0,s
Aaraiz,0,1,s
Aaralyn,1,0,s
Aaran,2,116,s
Aaran-Jordan,0,1,s
Aarani,1,0,s
Aarany,1,0,s
Aaranyan,0,1,s
Aarathika,1,0,s
Aarathya,1,0,s
Aarati,1,0,s
Aarav,0,47,s
Aaravjit,0,1,s
Aarchie,1,0,s
Aaren,1,7,s
Aareon,0,1,s
Aarez,0,1,s
Aari,2,2,s
Aaria,15,0,s
Aariah,7,0,s
