Babies' first forenames: births registered in Scotland in 1984,,,,,,
,,,,,,
Information about the basis of the list can be found via the 'Babies' First Names' page on the National Records of Scotland website.,,,,,,
,,,,,,
Boys,,,,Girls,,
,,,,,,
Position,Name,Number of babies,,Position,Name,Number of babies
1,David,1785,,1,Laura,1185
2,Christopher,1369,,2,Claire,917
3,Andrew,1187,,3,Jennifer,850
4,John,1153,,4,Nicola,730
5,James,1090,,5,Lisa,727
6,Craig,956,,6,Sarah,693
7,Steven,949,,7,Louise,623
8,Paul,898,,8,Michelle,594
9,Michael,840,,9,Emma,528
10,Mark,817,,10,Gemma,508
11,Scott,777,,11,Kirsty,486
12,Robert,688,,12,Fiona,470
13,Stuart,669,,13,Gillian,462
14,Kevin,616,,14,Karen,398
15,William,613,,15,Donna,340
16,Stephen,576,,16,Lynsey,330
17,Gary,572,,17,Victoria,307
18,Alan,514,,18,Natalie,291
19,Ross,509,,19,Kelly,280
20,Richard,461,,20,Leanne,273
21,Thomas,403,,21,Julie,260
22,Neil,402,,22,Susan,257
23,Colin,396,,23,Amanda,249
24,Martin,393,,24,Pamela,247
25,Ryan,381,,25,Lauren,246
26,Graeme,347,,26,Joanne,245
27,Peter,345,,27,Angela,244
28,Jamie,341,,28,Alison,240
29,Iain,317,,29,Jenna,237
30,Darren,314,,30,Stephanie,235
31,Gordon,303,,31,Cheryl,234
32,Ian,291,,32=,Catherine,228
33,Graham,289,,32=,Stacey,228
34,Brian,287,,34,Elizabeth,226
35,Daniel,278,,35,Caroline,223
36,Alexander,276,,36=,Heather,222
37,Sean,263,,36=,Suzanne,222
38,Matthew,249,,38,Jacqueline,212
39,Barry,248,,39,Samantha,211
40,Allan,226,,40,Amy,210
41,Kenneth,221,,41,Deborah,207
42,Lee,220,,42,Lindsay,196
43,Derek,214,,43,Charlene,194
44,Jonathan,207,,44,Rachel,189
45,Gavin,204,,45=,Kerry,180
46,Joseph,190,,45=,Lesley,180
47=,Adam,185,,47,Sharon,177
47=,Stewart,185,,48,Lorna,176
49,Fraser,183,,49,Clare,172
50,George,168,,50,Ashley,170
51,Grant,153,,51,Elaine,158
52,Nicholas,152,,52,Kimberley,152
53,Anthony,149,,53,Lorraine,151
54,Douglas,147,,54,Lynne,150
55,Simon,132,,55,Lynn,148
56,Marc,128,,56,Debbie,140
57=,Alistair,127,,57,Rebecca,136
57=,Liam,127,,58,Helen,135
59,Keith,125,,59,Yvonne,133
60,Philip,108,,60=,Diane,126
61,Shaun,106,,60=,Joanna,126
62,Garry,105,,60=,Paula,126
63=,Edward,104,,63=,Danielle,124
63=,Greg,104,,63=,Margaret,124
65,Euan,102,,65,Dawn,119
66,Alastair,100,,66,Tracy,116
67,Alasdair,99,,67,Christine,114
68,Callum,96,,68,Linda,112
69,Patrick,94,,69,Tracey,108
70=,Calum,93,,70,Catriona,107
70=,Duncan,93,,71,Ruth,106
70=,Jason,93,,72,Siobhan,103
73,Bryan,89,,73,Jane,98
74,Raymond,86,,74,Pauline,97
75,Charles,85,,75=,Eilidh,96
76=,Donald,82,,75=,Hayley,96
76=,Ewan,82,,75=,Mary,96
78,Russell,80,,78,Hazel,95
79,Lewis,77,,79,Anna,94
80,Cameron,72,,80,Melissa,93
81,Dean,71,,81=,Alana,92
82,Benjamin,67,,81=,Katie,92
83=,Gareth,60,,81=,Shona,92
83=,Malcolm,60,,84=,Carol,90
85,Samuel,58,,84=,Jill,90
86,Niall,56,,86=,Katherine,88
87,Gerard,55,,86=,Kathleen,88
88=,Aaron,54,,86=,Kathryn,88
88=,Greig,54,,86=,Lyndsay,88
90=,Ben,50,,90=,Andrea,87
90=,Martyn,50,,90=,Lyndsey,87
92=,Bruce,49,,92,Kim,85
92=,Jordan,49,,93,Jillian,81
94,Kieran,48,,94,Katrina,79
95,Francis,47,,95,Marie,78
96,Wayne,46,,96=,Anne,76
97,Kris,45,,96=,Sara,76
98=,Mohammed,44,,98=,Christina,73
98=,Murray,44,,98=,Lucy,73
98=,Rory,44,,98=,Melanie,73
101,Gregor,42,,101,Mhairi,71
102=,Dale,40,,102,Hannah,69
102=,Kristopher,40,,103,Stacy,68
102=,Ronald,40,,104=,Emily,65
105,Jon,38,,104=,Kirsten,65
106,Kyle,37,,104=,Lindsey,65
107,Hugh,35,,104=,Natasha,65
108=,Angus,32,,108,Erin,64
108=,Antony,32,,109=,Denise,63
