Babies' first forenames: births registered in Scotland in 2006,,,,,,
,,,,,,
Information about the basis of the list can be found via the 'Babies' First Names' page on the National Records of Scotland website.,,,,,,
,,,,,,
Boys,,,,Girls,,
,,,,,,
Position,Name,Number of babies,,Position,Name,Number of babies
1,Jack,670,,1,Sophie,645
2,Lewis,657,,2,Emma,484
3,Callum,532,,3,Erin,483
4,Ryan,507,,4,Katie,470
5,James,467,,5,Lucy,465
6,Cameron,431,,6,Chloe,455
7,Jamie,414,,7,Ellie,448
8,Daniel,398,,8,Amy,421
9,Matthew,394,,9,Olivia,366
10,Kyle,367,,10,Emily,355
11,Adam,352,,11,Hannah,324
12,Ben,344,,12,Rebecca,315
13,Aaron,340,,13,Jessica,291
14,Logan,331,,14,Grace,265
15,Andrew,328,,15,Megan,252
16,Connor,314,,16=,Holly,237
17=,Dylan,313,,16=,Rachel,237
17=,Liam,313,,18,Leah,235
19,Thomas,308,,19,Aimee,224
20,Alexander,306,,20,Lauren,221
21,Finlay,304,,21=,Abbie,219
22,Joshua,282,,21=,Sarah,219
23,Nathan,276,,23,Isla,216
24,Aidan,268,,24,Niamh,214
25,Aiden,265,,25,Anna,211
26,David,261,,26,Mia,209
27,Scott,254,,27,Caitlin,203
28,Ross,251,,28,Ava,190
29,Luke,246,,29,Eva,188
30,Calum,223,,30,Keira,184
31,Charlie,204,,31,Molly,176
32,Michael,201,,32,Brooke,172
33,Sean,199,,33,Freya,170
34,Samuel,198,,34,Charlotte,162
35,John,197,,35=,Eilidh,161
36,William,196,,35=,Skye,161
37,Josh,190,,37,Nicole,154
38,Robbie,189,,38,Zoe,152
39,Ethan,187,,39,Morgan,151
40,Kieran,181,,40,Millie,147
41=,Harry,175,,41,Abigail,146
41=,Robert,175,,42,Eve,140
41=,Sam,175,,43=,Cara,132
44,Euan,173,,43=,Paige,132
45,Fraser,172,,45,Ruby,126
46,Owen,171,,46,Amber,125
47,Rhys,168,,47,Lily,123
48,Joseph,166,,48,Iona,121
49=,Oliver,165,,49,Kayla,120
49=,Reece,165,,50,Ella,110
51,Ewan,163,,51,Beth,107
52,Jay,158,,52=,Shannon,106
53,Tyler,150,,52=,Taylor,106
54=,Jake,146,,54,Madison,103
54=,Max,146,,55,Kayleigh,99
54=,Rory,146,,56,Bethany,98
57,Christopher,143,,57,Kirsty,89
58,Kai,135,,58,Louise,86
59=,Arran,129,,59,Neve,83
59=,Benjamin,129,,60,Zara,82
61,Craig,121,,61,Daisy,81
62,Leo,119,,62,Jenna,79
63,Mark,114,,63,Jennifer,77
64=,Brandon,113,,64,Laura,76
64=,Declan,113,,65=,Evie,75
64=,Lucas,113,,65=,Heather,75
67=,Cole,100,,65=,Melissa,75
67=,Harris,100,,68=,Elizabeth,74
69,Angus,99,,68=,Robyn,74
70=,Archie,97,,70=,Courtney,72
70=,Shaun,97,,70=,Hollie,72
72,Lee,96,,72=,Abby,70
73,Taylor,95,,72=,Poppy,70
74,Blair,94,,74,Georgia,69
75,Ciaran,91,,75=,Carly,66
76,Evan,90,,75=,Gemma,66
77,Leon,89,,77,Orla,65
78,Gregor,84,,78=,Kate,64
79,Noah,82,,78=,Kelsey,64
80=,Lennon,81,,80,Natasha,63
80=,Murray,81,,81=,Hayley,62
82,Kenzie,80,,81=,Kiera,62
83,Finn,78,,81=,Mya,62
84,Steven,75,,81=,Samantha,62
85,Jacob,74,,85=,Jodie,60
86,Luca,73,,85=,Kara,60
87,Alfie,72,,87=,Demi,59
88=,Brodie,71,,87=,Rosie,59
88=,Peter,71,,89=,Caitlyn,58
90,Kian,70,,89=,Isabella,58
91=,Corey,69,,89=,Jasmine,58
91=,Harvey,69,,89=,Naomi,58
93,Stuart,67,,93=,Alisha,57
94=,Hamish,64,,93=,Lara,57
94=,Patrick,64,,95,Alexandra,55
96=,Bailey,63,,96,Charlie,54
96=,George,63,,97=,Abi,53
98=,Charles,62,,97=,Amelia,53
98=,Paul,62,,99=,Cerys,51
98=,Stephen,62,,99=,Maisie,51
101=,Louis,61,,99=,Maya,51
101=,Mackenzie,61,,102=,Alana,50
103=,Hayden,59,,102=,Alyssa,50
103=,Marcus,59,,102=,Chelsea,50
105,Jason,58,,102=,Imogen,50
106,Harrison,56,,102=,Kaitlyn,50
107=,Bradley,54,,107=,Carys,49
107=,Jonathan,54,,107=,Elise,49
107=,Zak,54,,107=,Elle,49
