Babies' first forenames: births registered in Scotland in 1982,,,,,,
,,,,,,
Information about the basis of the list can be found via the 'Babies' First Names' page on the National Records of Scotland website.,,,,,,
,,,,,,
Boys,,,,Girls,,
,,,,,,
Position,Name,Number of babies,,Position,Name,Number of babies
1,David,1856,,1,Laura,1111
2,Christopher,1406,,2,Claire,982
3,John,1298,,3,Lisa,808
4,Andrew,1197,,4,Nicola,726
5,James,1098,,5,Michelle,704
6,Paul,1012,,6,Sarah,683
7,Steven,894,,7,Jennifer,648
8,Craig,849,,8,Louise,645
9,Scott,781,,9,Emma,599
10,Mark,763,,10,Kirsty,510
11,Michael,741,,11,Fiona,498
12,Robert,740,,12,Karen,479
13,Kevin,716,,13,Gillian,476
14,Stuart,663,,14,Donna,378
15,William,599,,15,Kelly,373
16,Alan,594,,16,Victoria,348
17,Stephen,587,,17,Susan,342
18,Gary,519,,18,Julie,338
19,Ross,514,,19,Gemma,329
20,Martin,472,,20,Angela,314
21=,Colin,440,,21=,Amanda,313
21=,Richard,440,,21=,Lynsey,313
23,Thomas,420,,23,Alison,285
24,Brian,412,,24,Pamela,280
25,Barry,401,,25,Leanne,278
26,Neil,389,,26,Caroline,273
27,Graeme,377,,27,Sharon,265
28,Gordon,342,,28,Natalie,255
29,Ian,341,,29,Suzanne,253
30,Iain,334,,30=,Elaine,249
31,Peter,326,,30=,Jacqueline,249
32,Darren,299,,30=,Joanne,249
33,Alexander,290,,33,Lesley,230
34,Jamie,287,,34,Deborah,228
35,Ryan,285,,35,Catherine,224
36,Graham,279,,36,Cheryl,219
37,Jonathan,275,,37,Elizabeth,208
38=,Derek,257,,38,Lynne,201
38=,Kenneth,257,,39,Kerry,198
40,Daniel,249,,40,Lorraine,185
41,Allan,246,,41,Tracy,181
42,Matthew,214,,42=,Lindsay,179
43=,Gavin,210,,42=,Rebecca,179
43=,Lee,210,,44,Charlene,178
45,Stewart,199,,45,Lorna,174
46=,Douglas,187,,46,Rachel,171
46=,George,187,,47,Clare,170
48,Sean,184,,48=,Heather,169
49,Nicholas,182,,48=,Lynn,169
50,Simon,165,,50,Debbie,167
51,Fraser,158,,51,Stephanie,162
52,Keith,151,,52,Kimberley,161
53=,Anthony,140,,53,Stacey,142
53=,Joseph,140,,54,Christine,140
55,Adam,139,,55=,Helen,139
56,Gareth,134,,55=,Margaret,139
57,Grant,133,,57,Yvonne,138
58,Bryan,131,,58,Lauren,136
59=,Duncan,119,,59=,Carol,133
59=,Philip,119,,59=,Samantha,133
61,Euan,116,,61,Dawn,132
62,Alistair,115,,62,Amy,126
63,Garry,114,,63,Pauline,125
64,Ewan,112,,64=,Linda,122
65=,Charles,108,,64=,Paula,122
65=,Edward,108,,66,Ashley,120
67,Jason,105,,67,Catriona,112
68,Marc,104,,68,Diane,110
69,Shaun,99,,69,Shona,109
70=,Donald,97,,70,Lyndsey,108
70=,Russell,97,,71,Anne,106
72=,Alastair,95,,72=,Jill,105
72=,Patrick,95,,72=,Mary,105
74,Calum,89,,74,Anna,100
75,Liam,85,,75=,Hazel,98
76,Alasdair,81,,75=,Sara,98
77,Greg,77,,77,Jane,96
78=,Callum,73,,78=,Kathryn,95
78=,Raymond,73,,78=,Tracey,95
80,Benjamin,70,,80,Denise,94
81,Gerard,69,,81,Ruth,92
82,Malcolm,67,,82=,Kim,89
83,Cameron,64,,82=,Marie,89
84,Aaron,58,,84,Kathleen,88
85,Ronald,57,,85,Andrea,87
86,Bruce,56,,86=,Joanna,86
87=,Greig,55,,86=,Linsey,86
87=,Lewis,55,,88,Katrina,84
89,Francis,54,,89=,Carrie,82
90=,Dean,53,,89=,Danielle,82
90=,Gregor,53,,89=,Katherine,82
90=,Niall,53,,92,Mhairi,81
93,Jordan,51,,93,Christina,78
94=,Kris,50,,94,Lucy,77
94=,Martyn,50,,95,Jillian,75
96=,Robin,48,,96,Melanie,73
96=,Samuel,48,,97=,Lee,72
98=,Blair,47,,97=,Natasha,72
98=,Hugh,47,,99,Gail,71
98=,Mohammed,47,,100=,Eilidh,70
98=,Murray,47,,100=,Lindsey,70
98=,Wayne,47,,100=,Wendy,70
103,Rory,44,,103=,Alana,69
104,Kristopher,41,,103=,Hannah,69
105,Adrian,35,,105,Vicky,68
106,Angus,33,,106,Katie,67
107=,Ben,32,,107,Patricia,65
107=,Dale,32,,108=,Ann,64
